"ID","Title ID","Real Name","Character Name","Role"
"1","82","Mrs. Mona Hyatt Jr.","Rosella","Actor"
"2","45","Kay Rempel","Violet","Actress"
"3","30","Betsy Windler","Zora","Screenwriter"
"4","42","Jose Ratke MD","Angelita","Director"
"5","78","Ms. Ernestine Larkin","Delpha","Production Designer"
"6","71","Rolando Hirthe","Zachariah","Film Editor"
"7","85","Debbie Altenwerth","Rossie","Film Editor"
"8","81","Kara Franey","Theresia","Producer"
"9","54","Gayle Upton","Efrain","Director"
"10","10","Shane Collins","Retta","Actor"
"11","56","Wilfred Gislason","Kieran","Producer"
"12","59","Claude Moen","Margaretta","Film Editor"
"13","95","Rodney Denesik","Gwendolyn","Actress"
"14","4","Shelly Gerhold","Emil","Film Editor"
"15","39","Shawn Hilll","Esteban","Actor"
"16","79","Hugh Casper","Leila","Director"
"17","37","Christina Bartoletti","Julie","Costume Designer"
"18","56","Jermaine Price IV","Bethel","Screenwriter"
"19","55","Ernestine Heaney","Rebeka","Production Designer"
"20","65","Mario Harvey","Roosevelt","Actress"
"21","45","Joann Renner","Bethany","Screenwriter"
"22","5","Dr. Mamie Sawayn","Kianna","Actor"
"23","91","Vickie Feil","Alf","Film Editor"
"24","40","Bobby Lubowitz","Kurtis","Film Editor"
"25","24","Shelia Wisozk-Hahn II","Brendon","Actor"
"26","30","Dr. Janie Lueilwitz","Delia","Costume Designer"
"27","57","Tricia Rippin","Carroll","Actor"
"28","7","Philip Yost","Jonas","Director"
"29","69","Paulette Davis","Whitney","Production Designer"
"30","7","Lori Runolfsdottir","Zion","Director"
"31","61","Penny Bode","Grady","Production Designer"
"32","68","Chelsea Schinner DDS","Jude","Actress"
"33","83","Brent Dooley","Erika","Producer"
"34","8","Constance Mraz","Mauricio","Actress"
"35","57","Emmett Kirlin","Kaleigh","Director"
"36","2","Hattie Brekke","Hazel","Actress"
"37","16","Sidney Daniel-Herman","Tyrique","Costume Designer"
"38","25","Willard Emmerich","Pascale","Cinematographer"
"39","24","Verna O'Connell","Terrence","Actress"
"40","97","Joe Effertz","Obie","Cinematographer"
"41","89","Geoffrey Greenfelder","Antonia","Producer"
"42","75","Alfred Moen Jr.","Hope","Producer"
"43","42","Ebony Leannon","Scot","Actress"
"44","16","Kyle Rosenbaum","Marcellus","Producer"
"45","10","Christine Hartmann","Xzavier","Production Designer"
"46","85","Garrett Boehm","Jeramie","Actor"
"47","87","Eva Rice","Kane","Film Editor"
"48","9","Seth Balistreri","Kennedi","Director"
"49","51","Betty Ward","Sunny","Producer"
"50","71","Terrell Auer","Carley","Producer"
"51","54","Lonnie Predovic","Hannah","Production Designer"
"52","39","Guillermo Towne","Petra","Producer"
"53","73","Alfred Carter","Shaina","Music Composer"
"54","38","Leonard Pfannerstill","Rudy","Actor"
"55","20","Doreen Barrows","Amy","Costume Designer"
"56","18","Dr. Ignacio Nikolaus","Lamont","Screenwriter"
"57","18","Dale Weber","Lessie","Director"
"58","33","Meghan Bahringer","Arvid","Film Editor"
"59","73","Dr. Kara Harber","Laura","Screenwriter"
"60","10","Florence Lakin","Kaylee","Production Designer"
"61","45","Austin Macejkovic","Laurie","Director"
"62","18","Dr. Terry Medhurst","Esther","Music Composer"
"63","60","Karl Hackett Jr.","Kaleb","Actor"
"64","24","Candice Stokes","Israel","Director"
"65","90","Miss Catherine Lemke","Eileen","Director"
"66","14","Albert Beier","Napoleon","Production Designer"
"67","31","Kenny Littel","Chaya","Music Composer"
"68","52","Mitchell Green","Marcelino","Cinematographer"
"69","22","Bethany Bradtke DVM","Kaitlyn","Producer"
"70","74","Louis Lesch","Alexis","Director"
"71","28","Sheri Shanahan","Ora","Director"
